id,title,done,priority,due
1,Buy groceries,True,medium,2024-01-01
2,Read a book,False,medium,2099-12-31
3,Call dentist,False,medium,
4,Buy groceries,False,low,
5,Finish project,False,high,
6,Read a book,False,medium,
7,Buy groceries,False,medium,
8,Buy clothes,False,medium,
9,Read a book,False,medium,
10,Call dentist,False,medium,
11,Buy groceries,False,medium,
12,Buy clothes,False,medium,
13,Read a book,False,medium,
14,Call dentist,False,medium,
15,Buy groceries,False,medium,
16,Read a book,False,medium,
